date,borough,location,event_type,category,attendance,audience,classification,time
2002-06-25,Manhattan,Pelham Fritz Recreation Center,Local Event,Arts/Culture,55.0,"Children, Young Adult, Adults, Teens, Adaptive, Seniors, General Public",,16:30:00
2002-06-25,Manhattan,Constance Baker Motley Recreation Center,Community Based Event,Arts/Culture,22.0,"Children, Young Adult, Adults, Teens, Seniors, General Public, Adaptive",,17:00:00
2002-06-29,Manhattan,White Park,Local Event,Mobile Unit,200.0,"Children, Young Adult, Adults, Teens, Adaptive, Seniors, General Public",,00:30:00
2002-06-30,Manhattan,Bloomingdale Playground,Local Event,Mobile Unit,125.0,"Tot, Young Adult, Children, Adults, Teens, Adaptive, Seniors, General Public",,00:30:00
2002-07-02,Manhattan,Abraham Lincoln Playground,Local Event,Mobile Unit,105.0,"Young Adult, Adults, Teens, Adaptive, General Public, Seniors",,00:30:00
2017-01-06,Bronx,Owen Dolen Recreation Center,Local Event,Arts/Culture,50.0,Teens;#Young Adult;#Adults;#Children,Play,10:00:00
2017-01-06,Bronx,Owen Dolen Recreation Center,Local Event,Arts/Culture,50.0,"Teens, Young Adult, Adults, Children",Play,15:00:00
2017-01-13,Bronx,Owen Dolen Recreation Center,Local Event,Arts/Culture,21.0,Children,Play,10:00:00
2017-01-13,Bronx,Owen Dolen Recreation Center,Local Event,Arts/Culture,21.0,Children,Play,15:00:00
2017-01-14,Brooklyn,Red Hook Recreation Center,Tournament/Competition,Sport,,Teens;#Young Adult,Tier 1,13:00:00
2017-01-14,Brooklyn,Red Hook Recreation Center,Tournament/Competition,Sport,,"Teens, Young Adult",Tier 1,18:00:00
2017-01-28,Bronx,St. Mary's Recreation Center,Local Event,Arts/Culture,12.0,General Public,AC&F,18:00:00
2017-01-28,Bronx,St. Mary's Recreation Center,Local Event,Arts/Culture,12.0,General Public,AC&F,23:00:00
2017-02-04,Bronx,West Bronx Recreation Center,Local Event,Arts/Culture,15.0,"Teens, Young Adult, Children",Play,15:00:00
2017-02-04,Bronx,West Bronx Recreation Center,Local Event,Arts/Culture,15.0,Teens;#Young Adult;#Children,Play,10:00:00
2017-02-10,Bronx,West Bronx Recreation Center,Local Event,Arts/Culture,12.0,Children,Play,18:00:00
2017-02-10,Bronx,West Bronx Recreation Center,Local Event,Arts/Culture,12.0,Children,Play,23:00:00
2017-02-14,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,95.0,Tot,Play,14:00:00
2017-02-14,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,95.0,Tot,Play,09:00:00
2017-02-23,Manhattan,Jackie Robinson Recreation Center,Local Event,Sport,55.0,Young Adult;#Teens;#Adults,Fitness,09:00:00
2017-02-23,Manhattan,Jackie Robinson Recreation Center,Local Event,Sport,55.0,"Young Adult, Teens, Adults",Fitness,14:00:00
2017-02-25,Bronx,Owen Dolen Recreation Center,Local Event,Arts/Culture,25.0,Teens;#Adults;#Seniors;#Young Adult,AC&F,00:00:00
2017-02-25,Bronx,Owen Dolen Recreation Center,Local Event,Arts/Culture,25.0,"Teens, Adults, Seniors, Young Adult",AC&F,05:00:00
2017-03-01,Bronx,St. James Recreation Center,Local Event,Arts/Culture,9.0,Seniors,Play,17:00:00
2017-03-01,Bronx,St. James Recreation Center,Local Event,Arts/Culture,9.0,Seniors,Play,22:00:00
2017-03-04,Bronx,St. James Recreation Center,Local Event,Arts/Culture,10.0,General Public,AC&F,15:00:00
2017-03-04,Bronx,St. James Recreation Center,Local Event,Arts/Culture,10.0,General Public,AC&F,10:00:00
2017-03-06,Manhattan,Alfred E. Smith Recreation Center,Local Event,Arts/Culture,27.0,"Adults, Seniors",Lecture/Panel/Talk,17:00:00
2017-03-06,Manhattan,Alfred E. Smith Recreation Center,Local Event,Arts/Culture,27.0,Adults;#Seniors,Lecture/Panel/Talk,12:00:00
2017-03-10,Manhattan,Alfred E. Smith Recreation Center,Local Event,Arts/Culture,33.0,"Tot, Children",Play,15:00:00
2017-03-10,Manhattan,Alfred E. Smith Recreation Center,Local Event,Arts/Culture,33.0,Tot;#Children,Play,10:00:00
2017-03-11,Bronx,Poe Park Visitor Center,Local Event,Arts/Culture,40.0,General Public,AC&F,23:00:00
2017-03-11,Bronx,Poe Park Visitor Center,Local Event,Arts/Culture,40.0,General Public,AC&F,18:00:00
2017-03-17,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,80.0,Tot;#Children,Play,09:00:00
2017-03-17,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,80.0,"Tot, Children",Play,13:00:00
2017-03-18,Bronx,Poe Park Visitor Center,Local Event,Arts/Culture,20.0,General Public,AC&F,18:00:00
2017-03-18,Bronx,Poe Park Visitor Center,Local Event,Arts/Culture,20.0,General Public,AC&F,22:00:00
2017-03-25,Bronx,Poe Park Visitor Center,Local Event,Arts/Culture,20.0,General Public,AC&F,22:00:00
2017-03-25,Bronx,Poe Park Visitor Center,Local Event,Arts/Culture,20.0,General Public,AC&F,18:00:00
2017-04-14,Brooklyn,McCarren Play Center,Local Event,Fitness,78.0,Tot;#Children,Play,12:00:00
2017-04-14,Brooklyn,McCarren Play Center,Local Event,Fitness,78.0,"Tot, Children",Play,16:00:00
2017-04-19,Manhattan,Jackie Robinson Recreation Center,Local Event,Arts/Culture,220.0,"Tot, Teens, Young Adult, Adults, Seniors",Play,14:00:00
2017-04-19,Manhattan,Jackie Robinson Recreation Center,Local Event,Arts/Culture,220.0,Tot;#Teens;#Young Adult;#Adults;#Seniors,Play,10:00:00
2017-04-29,Manhattan,Jackie Robinson Recreation Center,Local Event,Sport,39.0,Children,Play,00:00:00
2017-04-29,Manhattan,Jackie Robinson Recreation Center,Local Event,Sport,39.0,Children,Play,04:00:00
2017-05-08,Manhattan,Jackie Robinson Recreation Center,Tournament/Competition,Sport,22.0,"Children, Teens",Play,20:00:00
2017-05-08,Manhattan,Jackie Robinson Recreation Center,Tournament/Competition,Sport,22.0,Children;#Teens,Play,16:00:00
2017-05-12,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,67.0,Tot,,10:00:00
2017-05-12,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,67.0,Tot,,14:00:00
2017-05-26,Bronx,St. James Recreation Center,Local Event,Fitness,9.0,"Adults, Seniors",,13:00:00
2017-05-26,Bronx,St. James Recreation Center,Local Event,Fitness,9.0,Adults;#Seniors,,09:00:00
2017-05-31,Manhattan,Jackie Robinson Recreation Center,Open House,Fitness,95.0,"Teens, Young Adult, Adults, Seniors",,14:00:00
2017-05-31,Manhattan,Jackie Robinson Recreation Center,Open House,Fitness,95.0,Teens;#Young Adult;#Adults;#Seniors,,10:00:00
2017-07-15,Bronx,Starlight Park,Local Event,Arts/Culture,100.0,General Public,AC&F,23:00:00
2017-07-15,Bronx,Starlight Park,Local Event,Arts/Culture,20.0,General Public,AC&F,18:00:00
2017-07-15,Bronx,Starlight Park,Local Event,Arts/Culture,100.0,General Public,AC&F,19:00:00
2017-07-15,Bronx,Starlight Park,Local Event,Arts/Culture,20.0,General Public,AC&F,22:00:00
2017-07-22,Bronx,Pelham Bay Park,Local Event,Arts/Culture,120.0,General Public,AC&F,22:00:00
2017-07-22,Bronx,Pelham Bay Park,Local Event,Arts/Culture,120.0,General Public,AC&F,18:00:00
2017-08-01,Brooklyn,Sunset Park Recreation Center,Local Event,Sport,24.0,"Teens, Young Adult, Adults",Tier 1,16:00:00
2017-08-01,Brooklyn,Sunset Park Recreation Center,Local Event,Sport,24.0,Teens;#Young Adult;#Adults,Tier 1,12:00:00
2017-08-11,Bronx,Williamsbridge Oval Recreation Center,Local Event,Arts/Culture,55.0,General Public,AC&F,04:00:00
2017-08-11,Bronx,Williamsbridge Oval Recreation Center,Local Event,Arts/Culture,55.0,General Public,AC&F,00:00:00
2017-10-06,Bronx,Virginia Park,Local Event,Arts/Culture,25.0,General Public,AC&F,18:00:00
2017-10-06,Bronx,Virginia Park,Local Event,Arts/Culture,25.0,General Public,AC&F,22:00:00
2017-10-13,Bronx,Virginia Park,Local Event,Arts/Culture,25.0,General Public,AC&F,18:00:00
2017-10-13,Bronx,Virginia Park,Local Event,Arts/Culture,25.0,General Public,AC&F,22:00:00
2017-10-17,Staten Island,Greenbelt Recreation Center,Tournament/Competition,Sport,125.0,Seniors,Tier 3,10:00:00
2017-10-17,Staten Island,Greenbelt Recreation Center,Tournament/Competition,Sport,125.0,Seniors,Tier 3,14:00:00
2017-10-20,Bronx,Virginia Park,Local Event,Arts/Culture,20.0,General Public,AC&F,22:00:00
2017-10-20,Bronx,Virginia Park,Local Event,Arts/Culture,20.0,General Public,AC&F,18:00:00
2017-10-21,Staten Island,Cedar Grove Playground,Local Event,Performance,40.0,General Public,Play,14:00:00
2017-10-21,Staten Island,Cedar Grove Playground,Local Event,Performance,40.0,General Public,Play,10:00:00
2017-10-22,Bronx,Concrete Plant Park,Local Event,Arts/Culture,30.0,"Teens, Young Adult, Adults, Seniors",AC&F,22:00:00
2017-10-22,Bronx,Concrete Plant Park,Local Event,Arts/Culture,30.0,Teens;#Young Adult;#Adults;#Seniors,AC&F,18:00:00
2017-10-27,Bronx,Virginia Park,Local Event,Arts/Culture,100.0,General Public,AC&F,18:00:00
2017-10-27,Bronx,Virginia Park,Local Event,Arts/Culture,100.0,General Public,AC&F,22:00:00
2017-10-28,Bronx,St. Mary's Recreation Center,Local Event,Arts/Culture,350.0,General Public,AC&F,22:00:00
2017-10-28,Bronx,St. Mary's Recreation Center,Local Event,Arts/Culture,350.0,General Public,AC&F,18:00:00
2017-10-28,Staten Island,Clove Lakes Park,Local Event,Arts/Culture,130.0,Children;#Young Adult;#Teens;#Adults,Play,17:00:00
2017-10-28,Staten Island,Clove Lakes Park,Local Event,Arts/Culture,130.0,"Children, Young Adult, Teens, Adults",Play,21:00:00
2017-10-31,Staten Island,Cedar Grove Playground,Local Event,Arts/Culture,80.0,Tot;#Children;#Young Adult;#Adults;#Teens,Play,18:00:00
2017-10-31,Bronx,Owen Dolen Recreation Center,Local Event,Arts/Culture,230.0,"Tot, Children, Teens",Play,14:00:00
2017-10-31,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,80.0,"Tot, Children",Play,22:00:00
2017-10-31,Staten Island,Cedar Grove Playground,Local Event,Arts/Culture,80.0,"Tot, Children, Young Adult, Adults, Teens",Play,22:00:00
2017-10-31,Bronx,Owen Dolen Recreation Center,Local Event,Arts/Culture,230.0,Tot;#Children;#Teens,Play,10:00:00
2017-10-31,Brooklyn,McCarren Play Center,Local Event,Arts/Culture,80.0,Tot;#Children,Play,18:00:00
2017-11-04,Staten Island,Macombs Dam Park,Tournament/Competition,Sport,400.0,Tot;#Teens,Tier 1,10:00:00
2017-11-04,Bronx,Owen Dolen Recreation Center,Tournament/Competition,Sport,400.0,"Teens, Children",Tier 1,14:00:00
2017-11-04,Staten Island,Macombs Dam Park,Tournament/Competition,Sport,400.0,"Tot, Teens",Tier 1,14:00:00
2017-11-04,Bronx,St. James Recreation Center,Local Event,Arts/Culture,17.0,General Public,AC&F,23:00:00
2017-11-04,Bronx,St. James Recreation Center,Local Event,Arts/Culture,120.0,Seniors;#Adults;#Young Adult,AC&F,18:00:00
2017-11-04,Bronx,St. James Recreation Center,Local Event,Arts/Culture,120.0,"Seniors, Adults, Young Adult",AC&F,22:00:00
