unit,group_name_partner,date_and_time,borough,locationtype,location,event_name,event_type,category,attendance,audience,source,classification
Urban Park Rangers,Urban Park Rangers,2019-10-12T11:00:00.000,Queens,Adventure Course,Alley Pond Adventure Course,PEP Family and Friends,Agency Produced Event,Nature,75.0,Children;#Young Adult;#Adults;#Teens;#Tot,Sharepoint,
Urban Park Rangers,Greenbelt Conservancy,2019-11-20T18:00:00.000,Staten Island,Nature Center,Greenbelt Nature Center,Family Science Night,Local Event,Nature,30.0,General Public,Sharepoint,
Urban Park Rangers,Greenbelt Nature Center,2019-12-19T18:00:00.000,Staten Island,Nature Center,Greenbelt Nature Center,Family science night,Community Based Event,Academic/Out of School time,9.0,Children;#Adults;#Teens,Sharepoint,
Urban Park Rangers,Greenbelt,2020-01-15T18:00:00.000,Staten Island,Nature Center,Greenbelt Nature Center,Family Science Night,Agency Produced Event,Academic/Out of School time,30.0,Children;#Adults;#Teens,Sharepoint,
Urban Park Rangers,Greenbelt Nature Center,2020-01-19T11:00:00.000,Staten Island,Nature Center,Greenbelt Nature Center,Winter Wilderness Skills,Local Event,Nature,62.0,Children;#Young Adult;#Adults;#Teens,Sharepoint,
Urban Park Rangers,Greenbelt Conservancy,2020-02-19T18:00:00.000,Staten Island,Nature Center,Greenbelt Nature Center,Family Science Night,Community Based Event,Academic/Out of School time,30.0,Children;#Young Adult;#Teens;#Adults;#General Public,Sharepoint,
Urban Park Rangers,Mappy Hour NYC,2020-08-19T19:00:00.000,Manhattan,Park,Payson Park House,Virtual Mappy Hour with Ranger Dan,Community Based Event,Nature,47.0,Adults;#Young Adult;#General Public,Sharepoint,Summer 2020
Urban Park Rangers,General Public,2020-08-25T11:00:00.000,Manhattan,Park,Payson Park House,Belvedere (the Tortoise) on the Rocks!,Community Based Event,Nature,12.0,General Public,Sharepoint,Summer 2020
Urban Park Rangers,General Public,2020-09-16T14:00:00.000,Staten Island,Nature Center,Greenbelt Nature Center,Hiking is a Walk in the Park,Community Based Event,Nature,3.0,General Public,Sharepoint,Summer 2020
Urban Park Rangers,General Public,2020-09-28T10:30:00.000,Manhattan,Nature Center,Inwood Hill Nature Center,Wigwam & Garden Open House,Community Based Event,Nature,2.0,General Public,Sharepoint,Summer 2020
Recreation,,2018-08-29T19:30:00.000,Bronx,Nature Center,Van Cortlandt Nature Center,Movies Under The Star's: A Wrinkle In Time,Community Based Event,Family Festival,21.0,General Public,Sharepoint,Lecture/Panel/Talk
Urban Park Rangers,Fort Greene Conservancy,2019-04-13T11:00:00.000,Brooklyn,Nature Center,Fort Greene Visitor Center,Fort Greene Easter Egg Hunt,Local Event,Family Festival,383.0,Adults,Sharepoint,Play
Urban Park Rangers,National Parks Service,2019-04-20T10:00:00.000,Queens,Nature Center,Jamaica Bay Wildlife Refuge,Junior Ranger Day,Agency Produced Event,Family Festival,31.0,Children,Sharepoint,Play
Recreation,"Councilman Justin Branan, Sound Off",2019-06-14T19:00:00.000,Brooklyn,Other,American Veterans Memorial Pier,Silent Disco,Community Based Event,Arts/Culture,600.0,General Public,Sharepoint,Music
Recreation,,2018-06-15T20:30:00.000,Staten Island,Other,Midland Field,Movies Under the Stars: Transformers: The Last Knight,Community Based Event,Mobile Unit,50.0,General Public,Sharepoint,Movies
Recreation,"Sound Off, Councilman Justin Branan",2019-06-29T19:00:00.000,Brooklyn,Other,American Veterans Memorial Pier,Silent Disco,Community Based Event,Arts/Culture,650.0,General Public,Sharepoint,Music
Recreation,,2018-06-22T20:30:00.000,Queens,Other,Rory Staunton Field,"MUTS "" Paddington """,Community Based Event,Mobile Unit,119.0,General Public,Sharepoint,Movies
Urban Park Rangers,Wildlife NYC,2019-07-06T12:00:00.000,Queens,Other,Rockaway Beach and Boardwalk,Plover Day,Agency Produced Event,Nature,73.0,General Public,Sharepoint,
Recreation,NYPD,2019-07-12T11:00:00.000,Queens,Other,167-02 Baisley Blvd/Bedell Street,Cops and Kids Day,Community Based Event,Mobile Unit,160.0,General Public,Sharepoint,Play
Urban Park Rangers,Green Thumb,2019-07-20T10:00:00.000,Brooklyn,Other,Herbal Garden of East New York,Opening Garden Day,Community Based Event,Nature,0.0,General Public,Sharepoint,
Recreation,Rockaway Administator,2019-07-14T20:45:00.000,Queens,Other,Beach 94 Plaza,Mary Poppins Returns,Community Based Event,Mobile Unit,200.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-07-27T08:00:00.000,Staten Island,Other,Franklin D. Roosevelt Boardwalk and Beach,Beach Soccer Tournament,Tournament/Competition,Sport,1000.0,General Public,Sharepoint,Tier 2
Recreation,,2019-07-28T08:00:00.000,Staten Island,Other,Franklin D. Roosevelt Boardwalk and Beach,Beach Soccer Tournament,Tournament/Competition,Sport,1000.0,General Public,Sharepoint,Tier 2
Recreation,,2019-07-28T10:00:00.000,Staten Island,Other,Franklin D. Roosevelt Boardwalk and Beach,Food Truck Festival,Community Based Event,Family Festival,200.0,General Public,Sharepoint,
Recreation,,2019-07-27T10:00:00.000,Staten Island,Other,Franklin D. Roosevelt Boardwalk and Beach,Food Truck Festival,Community Based Event,Family Festival,200.0,General Public,Sharepoint,
Recreation,,2019-06-14T10:30:00.000,Manhattan,Other,123rd St. & Morningside Ave.,Play Mobile,Community Based Event,Mobile Unit,150.0,Tot;#Children;#Teens,Sharepoint,Play
Recreation,,2019-05-26T11:00:00.000,Bronx,Other,Castle Hill YMCA,Hispanic Grand Council Picnic,Local Event,Mobile Unit,10.0,General Public,Sharepoint,Play
Recreation,Harlem Mothers S.A.V.E,2019-07-24T10:00:00.000,Manhattan,Playground,Fred Samuel Playground,Annual 128th Street Play Street,Community Based Event,Mobile Unit,30.0,Children,Sharepoint,Play
Recreation,Harlem One Stop,2019-06-23T12:00:00.000,Manhattan,Other,139th St. & Amsterdam Ave.,Play Mobile,Community Based Event,Mobile Unit,600.0,Tot;#Children;#Adults,Sharepoint,Play
Recreation,NYPD,2019-06-22T12:00:00.000,Manhattan,Other,W. 126th St. & 1st Ave.,Play Mobile,Community Based Event,Mobile Unit,500.0,Teens;#Children;#Tot,Sharepoint,Play
Recreation,Harlem One Stop,2019-07-27T12:00:00.000,Manhattan,Other,139th and Amsterdam Avenue,Hamiton Heights Weekend Walks,Community Based Event,Mobile Unit,200.0,Children,Sharepoint,Play
Recreation,NYPD,2019-06-15T11:00:00.000,Manhattan,Other,130 Avenue C bet. 9th & 10th Ave.,Play Mobile,Community Based Event,Mobile Unit,400.0,Children;#Tot;#Teens,Sharepoint,Play
Recreation,Village Alliance District Management Association,2019-06-08T12:00:00.000,Manhattan,Other,W. 8th St. & 6th Ave.,Play Mobile,Community Based Event,Mobile Unit,500.0,Children;#Tot;#Teens,Sharepoint,Play
Recreation,The Points Team Youth Program,2019-06-09T10:00:00.000,Manhattan,School,Harriet Tubman School Yard,Play Mobile,Community Based Event,Mobile Unit,50.0,Teens;#Children;#Tot,Sharepoint,Play
Recreation,,2019-06-29T11:00:00.000,Bronx,Other,4750 White Plains Road,Street Fair Extravaganza,Local Event,Mobile Unit,30.0,General Public,Sharepoint,Play
Recreation,,2019-06-27T13:00:00.000,Bronx,Other,Edenwald Community Center,Fatherhood Resource Day,Community Based Event,Mobile Unit,50.0,General Public,Sharepoint,Play
Recreation,,2019-07-20T12:00:00.000,Bronx,Other,160th Street betwn Melrose and Elton Aves.,We Are Melrose,Community Based Event,Mobile Unit,15.0,General Public,Sharepoint,Play
Recreation,,2019-07-06T12:00:00.000,Bronx,Other,1317 Fulton Avenue Bronx New York,Bringing the Peace,Community Based Event,Mobile Unit,45.0,General Public,Sharepoint,Play
Recreation,,2019-07-27T11:30:00.000,Bronx,Other,771 Fairmount Place,Outreach Day and Health and Wellness Fair,Community Based Event,Mobile Unit,35.0,General Public,Sharepoint,Play
Recreation,,2018-03-16T00:00:00.000,Staten Island,Other,P.S 18,She's On Point,Community Based Event,Fitness,55.0,Children;#Teens,Sharepoint,
Recreation,,2019-08-02T13:00:00.000,Bronx,Other,535 East 141st Street,Dream Big Bronx Youth Fair,Community Based Event,Mobile Unit,300.0,Tot;#Children;#Young Adult,Sharepoint,Play
Recreation,,2019-08-03T12:00:00.000,Bronx,Other,Aqueduct Walk,Commissioner's Programming,Agency Produced Event,Mobile Unit,20.0,Tot;#Children;#Teens,Sharepoint,Play
Recreation,Harlem Mothers S.A.V.E,2019-07-31T14:00:00.000,Manhattan,Other,306A West 2128th Street,Annual 128th Street Play Street,Community Based Event,Mobile Unit,3.0,Children,Sharepoint,Play
Recreation,Council Member Diana Ayala,2019-07-30T13:00:00.000,Manhattan,Other,106th Street Bet. 3rd Avenue and Lexington Avenue,East Harlem Youth Fair,Community Based Event,Mobile Unit,500.0,Children,Sharepoint,Play
Recreation,NYPD,2019-08-07T16:00:00.000,Queens,Other,Forest Hills Jewish Center,NYPD Night out,Community Based Event,Mobile Unit,100.0,General Public,Sharepoint,Play
Recreation,,2019-07-19T00:00:00.000,Brooklyn,Other,Red Hook Recreation Area,Spider-Man: Into the Spider-Verse(2018),Community Based Event,Mobile Unit,123.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-08-07T11:00:00.000,Queens,Other,Queens Hospital Center,Family Fun Day,Community Based Event,Mobile Unit,54.0,General Public,Sharepoint,Play
Recreation,,2019-08-06T14:30:00.000,Bronx,Other,"Brook Avenue, between 137th St & 138th St",National Night Out,Community Based Event,Mobile Unit,150.0,General Public,Sharepoint,Play
Recreation,,2019-08-08T10:00:00.000,Bronx,Other,200 West Tremont Avenue,Fitness Challenge,Community Based Event,Mobile Unit,20.0,Seniors,Sharepoint,Play
Recreation,Diversity Unity,2019-08-10T11:00:00.000,Queens,Other,14590 179th Street,Block Party,Community Based Event,Mobile Unit,75.0,General Public,Sharepoint,Play
Recreation,Rockaway Administrator,2019-08-11T20:30:00.000,Queens,Other,Beach 94th St,Aquaman,Community Based Event,Mobile Unit,175.0,General Public,Sharepoint,M.U.T.S
Recreation,SQPA,2019-08-16T11:00:00.000,Queens,Other,108-35 167th street,Last Day of Summer Camp Festival,Agency Produced Event,Mobile Unit,48.0,Children,Sharepoint,Play
Recreation,,2019-08-17T11:00:00.000,Queens,Other,147th Rd between 257th street and Weller Lane,Meet Your Neighbor Annual Block Party,Community Based Event,Mobile Unit,52.0,General Public,Sharepoint,Play
Recreation,,2019-08-16T00:00:00.000,Brooklyn,Other,Red Hook Recreation Area,Uncle Drew(2018),Community Based Event,Mobile Unit,26.0,General Public,Sharepoint,M.U.T.S
Recreation,19th Precinct Community Council,2019-08-06T05:30:00.000,Manhattan,Other,East End Ave. & 86th St.,Annual 19th Precinct National Night Out,Community Based Event,Mobile Unit,75.0,General Public,Sharepoint,Play
Recreation,,2019-08-16T12:00:00.000,Bronx,Other,Aqueduct Walk,Commissioner's Programming,Agency Produced Event,Mobile Unit,12.0,Tot;#Children;#Teens,Sharepoint,Play
Recreation,Play Mobile/Miriam Garay,2019-08-17T11:00:00.000,Brooklyn,Other,1769 East 49th Street,Matrix Youth Fair,Community Based Event,Mobile Unit,100.0,General Public,Sharepoint,Play
Recreation,Gospel Hall,2019-08-10T10:00:00.000,Manhattan,Other,27 West 115th Street,Health Fair and Back to School Supplies,Community Based Event,Mobile Unit,50.0,Teens;#Young Adult;#Children;#Tot,Sharepoint,Play
Recreation,Harlem Mothers S.A.V.E,2019-08-14T13:00:00.000,Manhattan,Other,306A West 128th Street,Annual 128th Street Play Street,Community Based Event,Mobile Unit,50.0,Teens;#Young Adult;#Children,Sharepoint,Play
Recreation,NYPD,2019-08-22T11:00:00.000,Queens,Other,153-90 Rockaway Boulevard,Block Party,Community Based Event,Mobile Unit,61.0,General Public,Sharepoint,Play
Recreation,,2019-08-17T12:00:00.000,Bronx,Other,"East 172nd STreet, btwn Third & Bathgate Avenues",Back to School Celebration,Community Based Event,Mobile Unit,75.0,Tot;#Children;#Teens,Sharepoint,Play
Recreation,,2019-08-22T11:00:00.000,Bronx,Other,Julio Carballo Fields,Summer Camp BBQ,Agency Produced Event,Mobile Unit,350.0,Children;#Teens,Sharepoint,Play
Recreation,Community League of the Heights,2019-08-21T10:00:00.000,Manhattan,Other,500 Weest 159th Street,CLOTH Health & Cultural Festival,Community Based Event,Mobile Unit,100.0,General Public,Sharepoint,Play
Recreation,Play Mobile,2019-08-24T00:00:00.000,Brooklyn,Other,"1003 Madison Street Brooklyn, NY",Stop the Violence,Community Based Event,Mobile Unit,92.0,General Public,Sharepoint,Play
Recreation,Life Changers Churchand Ministries,2019-08-24T10:00:00.000,Manhattan,Park,100 Street Lexington & Park Avenue,Back To School,Community Based Event,Mobile Unit,55.0,Children;#Teens,Sharepoint,Play
Recreation,,2018-06-01T20:00:00.000,Brooklyn,Pool,McCarren Pool Deck,Movies Under the Stars : Stonewall,Community Based Event,Mobile Unit,65.0,General Public,Sharepoint,Movies
Recreation,Play Mobile,2019-08-25T12:00:00.000,Brooklyn,Other,50 Belmont Avenue,Be on Belmont,Community Based Event,Mobile Unit,115.0,General Public,Sharepoint,Play
Recreation,,2018-06-08T20:00:00.000,Brooklyn,Pool,McCarren Pool Deck,Movies Under the Stars : Saturday Church,Community Based Event,Mobile Unit,55.0,General Public,Sharepoint,Movies
Recreation,CM Adabbo; Ozone Park Civic Association,2019-09-01T19:45:00.000,Queens,Other,Vito Locascio Field,Bohemian Rhapsody,Community Based Event,Mobile Unit,75.0,General Public,Sharepoint,M.U.T.S
Recreation,CM Vallone; NEQ Admin; Northwest Bayside Civic Association,2019-08-30T19:45:00.000,Queens,Other,Bayside Fields,The Incredibles 2,Community Based Event,Mobile Unit,150.0,General Public,Sharepoint,M.U.T.S
Recreation,Brooklyn Play Mobile,2019-08-30T14:00:00.000,Brooklyn,Other,1958 Fulton Street,2019 Back to School Festival Giveaway,Community Based Event,Mobile Unit,220.0,General Public,Sharepoint,Play
Public Programs,Brooklyn Play Mobile,2019-08-29T11:00:00.000,Brooklyn,Other,2551 Linden Blvd,NYC ACS Keisha Baxter Back to School Community Event,Community Based Event,Mobile Unit,170.0,General Public,Sharepoint,Play
Recreation,,2018-06-15T20:00:00.000,Brooklyn,Pool,McCarren Pool Deck,Movies Under the Stars : Pariah,Community Based Event,Mobile Unit,45.0,General Public,Sharepoint,Movies
Recreation,,2019-09-04T20:00:00.000,Bronx,Other,Julio Carballo Fields,Avengers: Endgame,Community Based Event,Mobile Unit,65.0,Young Adult;#Adults;#Teens;#Adaptive;#Seniors,Sharepoint,M.U.T.S
Recreation,,2019-08-23T16:00:00.000,Bronx,Other,Orchard Beach,Aqua Man,Agency Produced Event,Mobile Unit,75.0,Tot;#Children;#Teens,Sharepoint,Play
Recreation,,2019-08-23T20:30:00.000,Bronx,Other,Orchard Beach,Aqua Man,Community Based Event,Mobile Unit,500.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-03T20:00:00.000,Bronx,Other,Healy Field,A Wrinkle in Time,Community Based Event,Mobile Unit,20.0,Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-04T20:00:00.000,Bronx,Other,Julio Carballo Fields,Avengers: Endgame,Community Based Event,Mobile Unit,60.0,Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,Sharepoint,M.U.T.S
Recreation,Harlem One Stop,2019-09-08T10:00:00.000,Manhattan,Other,139th & 141st Street,Hamilton Heights Weekend Walks,Community Based Event,Mobile Unit,75.0,General Public,Sharepoint,Play
Recreation,Elaine D. Marius,2019-09-07T11:00:00.000,Manhattan,Other,139th-140th Street,Back to School - Back Pack Giveaway,Community Based Event,Mobile Unit,49.0,Children,Sharepoint,Play
Recreation,Compassion Explosion,2019-09-14T11:00:00.000,Queens,Other,145-21 Liberty Ave,Block Party,Community Based Event,Mobile Unit,77.0,General Public,Sharepoint,Play
Recreation,,2019-08-28T11:00:00.000,Brooklyn,Other,100 North Portland Avenue,,Community Based Event,Mobile Unit,100.0,General Public,Sharepoint,
Recreation,,2019-08-23T12:00:00.000,Brooklyn,Other,386 Marlborough Road,End of Camp,Community Based Event,Mobile Unit,150.0,General Public,Sharepoint,
Recreation,NYC Parks,2019-09-14T00:00:00.000,Manhattan,Other,W. 148th Street Bradhurst Avenue,Activities for the Kids,Agency Produced Event,Mobile Unit,19.0,Children,Sharepoint,Play
Recreation,,2019-09-07T19:45:00.000,Queens,Other,Flushing Fields,Bumblebee,Community Based Event,Mobile Unit,50.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-07T11:00:00.000,Bronx,Other,1377 Jerome Avenue,Family Fun Day,Community Based Event,Mobile Unit,100.0,Tot;#Children;#Young Adult;#Teens,Sharepoint,Play
Recreation,,2019-09-07T15:00:00.000,Bronx,Other,2376 Watson Avenue,We Love Our Community,Community Based Event,Mobile Unit,20.0,Tot;#Children;#Teens,Sharepoint,Play
Recreation,Bayside Village BID,2019-09-22T12:00:00.000,Queens,Other,39th ave and Bell Blvd,Bell Blvd Sunday Stroll,Community Based Event,Mobile Unit,250.0,General Public,Sharepoint,Play
Recreation,NYC Parks,2019-09-21T10:00:00.000,Manhattan,Other,Madison Square Garden Hotel Pennsylvania,Consulate of Columbia,Community Based Event,Mobile Unit,15.0,General Public,Sharepoint,Play
Recreation,Uptown Grand Central Org,2019-09-22T00:00:00.000,Manhattan,Other,125th To 118th Street,Party On Park,Community Based Event,Mobile Unit,55.0,General Public,Sharepoint,Play
